Date,Open,High,Low,Close,Volume
2021-01-14 00:00:00,37393.49,40112.78,36717.23,39134.35,427484257.463532
2021-01-13 00:00:00,34035.02,37800,32327.76,37393.49,510884350.828907
2021-01-12 00:00:00,35449.71,36639.23,32479.91,34035.02,621747472.265621
2021-01-11 00:00:00,38164.88,38261.39,30261.13,35455.58,1446125474.07654
2021-01-10 00:00:00,40239.06,41450,34322.07,38173.73,619139627.816806
2021-01-09 00:00:00,40682.76,41422.77,38788.16,40239.06,343474472.167379
2021-01-08 00:00:00,39510.59,42000,36618.36,40667.07,902156318.381956
2021-01-07 00:00:00,36875.96,40402.46,36327.5,39510.49,912781660.460963
2021-01-06 00:00:00,34081.24,37050.83,33348.27,36849.94,708229605.578909
2021-01-05 00:00:00,32054.23,34500,29936.26,34039.05,503999074.933066
2021-01-04 00:00:00,33068.83,33669.76,27734,32005.88,718434068.182592
2021-01-03 00:00:00,32216.51,34800,31977.45,33097.83,468684511.909932
2021-01-02 00:00:00,29410.77,33333,29050,32216.53,575641056.569892
2021-01-01 00:00:00,28999.63,29700,28720,29402.64,258198270.373128
2020-12-31 00:00:00,28893.21,29300,27930.75,28992.79,274784287.877353
2020-12-30 00:00:00,27370,29010.32,27328.37,28881.3,339116524.302452
2020-12-29 00:00:00,27037.9,27395,25831.85,27370,262130106.844924
2020-12-28 00:00:00,26242.82,27473.49,26079.6,27037.91,215972812.135147
2020-12-27 00:00:00,26472.89,28377.94,25770,26259.6,347528320.492313
2020-12-26 00:00:00,24714.01,26809.5,24485.32,26466.28,198271126.832434
2020-12-25 00:00:00,23747.22,24777,23403.82,24705.15,159823272.151688
2020-12-24 00:00:00,23215,23779.14,22700.1,23726.28,170484759.170245
2020-12-23 00:00:00,23819.08,24096.9,22624.92,23247.71,268324356.773562
2020-12-22 00:00:00,22750.07,23843.21,22383.59,23835.1,223277908.797549
2020-12-21 00:00:00,23470.85,24123.83,21864.86,22732.01,288131136.87305
2020-12-20 00:00:00,23842.38,24298.04,23092.77,23470.85,119606574.731156
2020-12-19 00:00:00,23142.05,24217.38,22719.78,23842.99,206767308.067735
2020-12-18 00:00:00,22829.89,23284.68,22360.93,23136.14,262834391.340108
2020-12-17 00:00:00,21358.96,23777,21244.04,22814.24,516210793.796578
2020-12-16 00:00:00,19434.55,21576.76,19277.66,21365.7,319943277.926155
2020-12-15 00:00:00,19274.33,19567.84,19050,19434.87,131200379.994864
2020-12-14 00:00:00,19151.82,19346.9,18979.21,19274.33,69741790.5230607
2020-12-13 00:00:00,18806.83,19416.64,18628.1,19162.36,81477611.4181876
2020-12-12 00:00:00,18031.23,18956.46,18022.55,18815.63,66143093.0278461
2020-12-11 00:00:00,18250.3,18290.43,17569.58,18040.02,120650258.795429
2020-12-10 00:00:00,18546.38,18562.13,17908,18250.3,123818348.055427
2020-12-09 00:00:00,18311.31,18654.92,17640.33,18556.64,165282976.454414
2020-12-08 00:00:00,19183.13,19300.55,18163.52,18316.43,109531632.905262
2020-12-07 00:00:00,19385.13,19431,18905,19173.5,82892225.806649
2020-12-06 00:00:00,19162.17,19418.39,18870.62,19380.58,48518395.6184745
2020-12-05 00:00:00,18650.08,19185.17,18500,19162.16,45543150.6861474
2020-12-04 00:00:00,19439.94,19552.5,18573.89,18673.76,116929422.182208
2020-12-03 00:00:00,19220.09,19621,18881.62,19448.4,120512498.213786
2020-12-02 00:00:00,18773.21,19346.9,18334,19226.55,129766984.788733
2020-12-01 00:00:00,19703.53,19918.01,18100,18771.43,221495167.079873
2020-11-30 00:00:00,18196.75,19864.15,18196.75,19700.19,209071633.629779
2020-11-29 00:00:00,17724.41,18352.47,17534.87,18192.03,67968319.8764202
2020-11-28 00:00:00,17160.38,17896.03,16875.01,17741.79,79332804.739941
2020-11-27 00:00:00,17168.31,17471.89,16435.47,17154.39,153786231.778747
2020-11-26 00:00:00,18727.24,18911.04,16218,17160.09,367654697.562792
2020-11-25 00:00:00,19175.13,19490,18470.91,18732.43,167891694.008417
2020-11-24 00:00:00,18386.92,19442.13,18068.56,19160.85,254127118.56008
2020-11-23 00:00:00,18432.6,18786.31,18001.95,18383.35,173025693.629429
2020-11-22 00:00:00,18726.43,18770.55,17600,18435.2,118302692.062706
2020-11-21 00:00:00,18685.08,18977,18333.45,18725,111179787.923111
2020-11-20 00:00:00,17822.37,18824.88,17755.81,18687.65,187250505.531073
2020-11-19 00:00:00,17792.96,18189.97,17346.62,17825.47,187286802.585161
2020-11-18 00:00:00,17681.77,18483,17041.47,17785.95,279558152.042156
